check,passed,severity,detail
v2_20b_report_exists,True,critical,outputs\full_universe_source_acquisition\asx_quality_first_acquisition_plan_v2_20b.json
v2_20b_status_expected,True,critical,ASX_QUALITY_FIRST_ACQUISITION_PLAN_COMPLETED_OFFICIAL_SOURCES_READY_RAW_ACQUISITION_READY_42K_45K_OPERATIONAL_50K_ASPIRATIONAL_FULL59K_DEPRECATED
v2_20b_next_phase_expected,True,critical,v2.20C - ASX Quality-First Raw Acquisition
active_canonical_rows_expected,True,critical,active_canonical_rows=38287
current_candidate_rows_expected,True,critical,current_candidate_rows=40996
hkex_validated_candidate_rows_expected,True,critical,hkex_rows=41392
active_canonical_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
current_candidate_sha_expected,True,critical,05047f03058c6d3d200b70f5f6e28e313dd9a98018b8ac44ea449989773c3aa2
hkex_validated_candidate_sha_expected,True,critical,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c
active_canonical_sha_unchanged,True,critical,active canonical sha unchanged
current_candidate_sha_unchanged,True,critical,current candidate sha unchanged
hkex_candidate_sha_unchanged,True,critical,HKEX candidate sha unchanged
quality_floor_target_preserved,True,critical,quality_floor=42000
quality_ceiling_target_preserved,True,critical,quality_ceiling=45000
rows_needed_to_quality_floor_expected,True,critical,rows_needed_to_42k=608
rows_needed_to_quality_ceiling_expected,True,critical,rows_needed_to_45k=3608
rows_needed_to_50k_aspirational_expected,True,warning,rows_needed_to_50k=8608
required_pages_captured,True,critical,required_failed=0
official_pages_captured_count,True,critical,captured_pages=5
raw_manifest_non_empty,True,critical,manifest_rows=7
attempts_recorded,True,critical,attempts=8
discovered_links_recorded,True,warning,discovered_links=60
discovered_download_candidates_recorded,True,warning,download_candidates=4
structured_download_captured,True,warning,captured_downloads=2
csv_or_xls_captured,True,warning,csv=1;xls=1
legacy_csv_failure_non_critical,True,warning,legacy_csv_status=404
raw_acquisition_only,True,critical,raw acquisition only
network_download_performed,True,critical,network_attempts=8
candidate_extraction_not_performed,True,critical,candidate_extraction_performed=False
candidate_validation_not_performed,True,critical,candidate_validation_against_canonical_performed=False
expanded_rebuild_not_performed,True,critical,expanded_rebuild_candidate_performed=False
expanded_validation_not_performed,True,critical,expanded_validation_performed=False
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
current_candidate_dataset_not_modified,True,critical,current_candidate_dataset_modified=False
hkex_candidate_dataset_not_modified,True,critical,hkex_candidate_dataset_modified=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
