check,passed,severity,detail
v2_20g_report_exists,True,critical,outputs\full_universe_source_acquisition\asx_expanded_rebuild_candidate_v2_20g.json
v2_20h_report_exists,True,critical,outputs\full_universe_source_acquisition\asx_expanded_validation_v2_20h.json
v2_20i_report_exists,True,critical,outputs\full_universe_source_acquisition\asx_closure_report_v2_20i.json
v2_20j_report_exists,True,critical,outputs\full_universe_source_acquisition\asx_candidate_promotion_decision_gate_v2_20j.json
v2_20g_status_expected,True,critical,ASX_EXPANDED_REBUILD_CANDIDATE_COMPLETED_42708_ROWS_1316_NET_NEW_42K_CROSSED_45K_NOT_EXCEEDED_CANONICAL_UNCHANGED_FULL59K_DEPRECATED
v2_20h_status_expected,True,critical,ASX_EXPANDED_VALIDATION_COMPLETED_42708_ROWS_1316_ASX_NET_NEW_VALIDATED_42K_CROSSED_45K_NOT_EXCEEDED_CLOSURE_REPORT_READY_FULL59K_DEPRECATED
v2_20i_status_expected,True,critical,ASX_CLOSURE_REPORT_COMPLETED_42708_ROWS_1316_ASX_NET_NEW_42K_TARGET_ACHIEVED_45K_CEILING_RESPECTED_CANONICAL_PROMOTION_DECISION_READY_FULL59K_DEPRECATED
v2_20j_status_expected,True,critical,ASX_CANDIDATE_PROMOTION_DECISION_GATE_COMPLETED_PROMOTION_RECOMMENDED_42708_ROWS_42K_ACHIEVED_CANONICAL_UNCHANGED_FULL59K_DEPRECATED
v2_20j_next_phase_expected,True,critical,v2.20K - ASX Canonical Promotion Plan
v2_20j_promotion_decision_expected,True,critical,PROMOTION_RECOMMENDED_READY_FOR_PLAN
v2_20j_promotion_recommendation_expected,True,critical,PREPARE_CANONICAL_PROMOTION_PLAN
v2_20j_decision_gate_result_expected,True,critical,APPROVE_PREPARATION_OF_CANONICAL_PROMOTION
v2_20j_canonical_promotion_not_performed,True,critical,canonical_promotion_performed=False
active_canonical_rows_expected,True,critical,active_canonical_rows=38287
pre_hkex_current_candidate_rows_expected,True,critical,pre_hkex_rows=40996
current_validated_candidate_rows_expected,True,critical,current_validated_rows=41392
asx_validated_candidate_rows_expected,True,critical,asx_validated_rows=42708
asx_net_new_rows_expected,True,critical,asx_net_new_rows=1316
uplift_vs_active_canonical_expected,True,critical,uplift_vs_active_canonical=4421
active_canonical_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
pre_hkex_current_candidate_sha_expected,True,critical,05047f03058c6d3d200b70f5f6e28e313dd9a98018b8ac44ea449989773c3aa2
current_validated_candidate_sha_expected,True,critical,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c
asx_validated_candidate_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
active_canonical_sha_unchanged,True,critical,active canonical sha unchanged
pre_hkex_current_candidate_sha_unchanged,True,critical,pre-HKEX current candidate sha unchanged
current_validated_candidate_sha_unchanged,True,critical,current validated candidate sha unchanged
asx_validated_candidate_sha_unchanged,True,critical,ASX validated candidate sha unchanged
quality_floor_crossed,True,critical,asx_validated_rows=42708;floor=42000
quality_ceiling_not_exceeded,True,critical,asx_validated_rows=42708;ceiling=45000
rows_above_quality_floor_expected,True,critical,rows_above_floor=708
remaining_capacity_to_quality_ceiling_expected,True,critical,capacity_to_ceiling=2292
rows_to_aspirational_50k_expected,True,warning,rows_to_50k=7292
planned_promotion_source_is_asx_candidate,True,critical,outputs\full_universe_source_acquisition\expanded_universe_candidate_asx_v2_20g.csv
planned_promotion_target_is_versioned_new_file,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
planned_target_does_not_exist_yet,True,warning,target_exists=False
promotion_plan_only,True,critical,promotion plan only
no_file_copy_performed,True,critical,file_copy_performed=False
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
canonical_promotion_not_performed,True,critical,canonical_promotion_performed=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
